Employee_ID,Department,Hire_Year,Salary_Band,Annual_Salary,Remote_Work,Tenure_Years,Manager_Satisfaction,Promotions_Last_5_Years,Overtime_Hours_Per_Month,Attrition
EMP-10000,Engineering,2022,Executive,203322,Hybrid,2,2.0,0,0,Yes
EMP-10001,Finance,2021,Senior,133666,Hybrid,3,4.0,1,0,No
EMP-10002,Sales,2023,Entry Level,46528,Hybrid,1,3.0,0,61,Yes
EMP-10003,Engineering,2013,Entry Level,52041,Never,11,2.0,0,0,Yes
EMP-10004,Engineering,2012,Entry Level,46021,Hybrid,12,4.0,0,21,No
EMP-10005,Engineering,2019,Entry Level,52629,Fully Remote,5,2.0,1,13,Yes
EMP-10006,Sales,2011,Entry Level,53684,Hybrid,13,2.0,2,14,Yes
EMP-10007,Marketing,2017,Entry Level,50892,Fully Remote,7,3.0,0,18,No
EMP-10008,Engineering,2021,Senior,133154,Fully Remote,3,5.0,1,15,No
EMP-10009,Engineering,2014,Executive,202721,Fully Remote,10,3.0,0,8,No
EMP-10010,Sales,2022,Senior,128242,Hybrid,2,5.0,0,7,No
EMP-10011,Finance,2021,Mid Level,83627,Hybrid,3,5.0,0,1,No
EMP-10012,Marketing,2018,Entry Level,51776,Never,6,1.0,0,15,No
EMP-10013,Marketing,2018,Entry Level,46998,Hybrid,6,1.0,0,6,Yes
EMP-10014,Sales,2023,Mid Level,87554,Hybrid,1,4.0,0,17,No
EMP-10015,Sales,2011,Entry Level,50249,Hybrid,13,5.0,0,15,No
EMP-10016,Engineering,2016,Mid Level,88004,Hybrid,8,3.0,0,24,No
EMP-10017,Engineering,2010,Mid Level,80659,Never,14,3.0,0,0,Yes
EMP-10018,Sales,2013,Mid Level,86694,Fully Remote,11,4.0,2,7,No
EMP-10019,Sales,2016,Entry Level,53815,Never,8,2.0,0,16,Yes
EMP-10020,Engineering,2021,Entry Level,54874,Never,3,3.0,0,4,No
EMP-10021,Marketing,2017,Senior,133445,Hybrid,7,1.0,0,34,Yes
EMP-10022,Sales,2023,Mid Level,88352,Never,1,3.0,1,3,Yes
EMP-10023,Engineering,2017,Entry Level,54146,Hybrid,7,1.0,0,11,Yes
EMP-10024,Sales,2022,Entry Level,52022,Fully Remote,2,3.0,0,6,No
EMP-10025,Sales,2012,Mid Level,81069,Hybrid,12,1.0,2,9,No
EMP-10026,Engineering,2010,Entry Level,45980,Fully Remote,14,3.0,2,1,No
EMP-10027,Sales,2019,Mid Level,87455,Hybrid,5,2.0,2,1,No
EMP-10028,Engineering,2019,Entry Level,52206,Hybrid,5,1.0,0,18,Yes
EMP-10029,Marketing,2022,Senior,131655,Fully Remote,2,1.0,1,3,No
EMP-10030,Sales,2011,Senior,126148,Never,13,3.0,0,11,No
EMP-10031,Marketing,2015,Entry Level,48051,Never,9,5.0,0,22,No
EMP-10032,Engineering,2023,Senior,126693,Never,1,4.0,0,52,Yes
EMP-10033,Engineering,2019,Mid Level,87560,Hybrid,5,,2,27,No
EMP-10034,Sales,2023,Senior,128343,Hybrid,1,1.0,1,4,No
EMP-10035,Engineering,2012,Mid Level,89435,Hybrid,12,3.0,1,0,Yes
EMP-10036,Sales,2021,Senior,134827,Hybrid,3,,1,24,No
EMP-10037,Engineering,2014,Entry Level,47489,Hybrid,10,4.0,0,14,No
EMP-10038,Engineering,2016,Mid Level,81687,Hybrid,8,4.0,0,42,No
EMP-10039,Engineering,2020,Entry Level,46066,Fully Remote,4,3.0,1,15,No
