Employee_ID,Department,Hire_Year,Salary_Band,Annual_Salary,Remote_Work,Tenure_Years,Manager_Satisfaction,Promotions_Last_5_Years,Overtime_Hours_Per_Month,Attrition,Attrition_Probability,Flight_Risk_Tier,Estimated_Cost_of_Turnover
EMP-10000,Engineering,2022,Executive,203322,Hybrid,2,2.0,0,0,Yes,0.5199889708984116,Medium Risk,40664.4
EMP-10001,Finance,2021,Senior,133666,Hybrid,3,4.0,1,0,No,0.07773356223644562,Low Risk,26733.2
EMP-10002,Sales,2023,Entry Level,46528,Hybrid,1,3.0,0,61,Yes,0.5032022893528842,Medium Risk,9305.6
EMP-10003,Engineering,2013,Entry Level,52041,Never,11,2.0,0,0,Yes,0.7130398455546266,High Risk,10408.2
EMP-10004,Engineering,2012,Entry Level,46021,Hybrid,12,4.0,0,21,No,0.3080896506845652,Low Risk,9204.2
EMP-10005,Engineering,2019,Entry Level,52629,Fully Remote,5,2.0,1,13,Yes,0.5383419529944607,Medium Risk,10525.800000000001
EMP-10006,Sales,2011,Entry Level,53684,Hybrid,13,2.0,2,14,Yes,0.5049141095209586,Medium Risk,10736.800000000001
EMP-10007,Marketing,2017,Entry Level,50892,Fully Remote,7,3.0,0,18,No,0.33570829374140243,Low Risk,10178.400000000001
EMP-10008,Engineering,2021,Senior,133154,Fully Remote,3,5.0,1,15,No,0.08420134333289843,Low Risk,26630.800000000003
EMP-10009,Engineering,2014,Executive,202721,Fully Remote,10,3.0,0,8,No,0.2277213643511767,Low Risk,40544.200000000004
EMP-10010,Sales,2022,Senior,128242,Hybrid,2,5.0,0,7,No,0.14757058440645207,Low Risk,25648.4
EMP-10011,Finance,2021,Mid Level,83627,Hybrid,3,5.0,0,1,No,0.11947195179097538,Low Risk,16725.4
EMP-10012,Marketing,2018,Entry Level,51776,Never,6,1.0,0,15,No,0.7106698581824634,High Risk,10355.2
EMP-10013,Marketing,2018,Entry Level,46998,Hybrid,6,1.0,0,6,Yes,0.6279131911385436,Medium Risk,9399.6
EMP-10014,Sales,2023,Mid Level,87554,Hybrid,1,4.0,0,17,No,0.12212370752991301,Low Risk,17510.8
EMP-10015,Sales,2011,Entry Level,50249,Hybrid,13,5.0,0,15,No,0.36643991203692555,Medium Risk,10049.800000000001
EMP-10016,Engineering,2016,Mid Level,88004,Hybrid,8,3.0,0,24,No,0.22648770759915926,Low Risk,17600.8
EMP-10017,Engineering,2010,Mid Level,80659,Never,14,3.0,0,0,Yes,0.39772040748063114,Medium Risk,16131.800000000001
EMP-10018,Sales,2013,Mid Level,86694,Fully Remote,11,4.0,2,7,No,0.08218200686742094,Low Risk,17338.8
EMP-10019,Sales,2016,Entry Level,53815,Never,8,2.0,0,16,Yes,0.7242698669084701,High Risk,10763.0
EMP-10020,Engineering,2021,Entry Level,54874,Never,3,3.0,0,4,No,0.3131190334846723,Low Risk,10974.800000000001
EMP-10021,Marketing,2017,Senior,133445,Hybrid,7,1.0,0,34,Yes,0.7206984357349304,High Risk,26689.0
EMP-10022,Sales,2023,Mid Level,88352,Never,1,3.0,1,3,Yes,0.15818510745890543,Low Risk,17670.4
EMP-10023,Engineering,2017,Entry Level,54146,Hybrid,7,1.0,0,11,Yes,0.6284571902172661,Medium Risk,10829.2
EMP-10024,Sales,2022,Entry Level,52022,Fully Remote,2,3.0,0,6,No,0.25096062641547845,Low Risk,10404.400000000001
EMP-10025,Sales,2012,Mid Level,81069,Hybrid,12,1.0,2,9,No,0.28232796433016377,Low Risk,16213.800000000001
EMP-10026,Engineering,2010,Entry Level,45980,Fully Remote,14,3.0,2,1,No,0.17552266919172735,Low Risk,9196.0
EMP-10027,Sales,2019,Mid Level,87455,Hybrid,5,2.0,2,1,No,0.33460858965498014,Low Risk,17491.0
EMP-10028,Engineering,2019,Entry Level,52206,Hybrid,5,1.0,0,18,Yes,0.6211888968654514,Medium Risk,10441.2
EMP-10029,Marketing,2022,Senior,131655,Fully Remote,2,1.0,1,3,No,0.3158051073350018,Low Risk,26331.0
EMP-10030,Sales,2011,Senior,126148,Never,13,3.0,0,11,No,0.2959239539366409,Low Risk,25229.600000000002
EMP-10031,Marketing,2015,Entry Level,48051,Never,9,5.0,0,22,No,0.3768005354895041,Medium Risk,9610.2
