Contract_ID,Close_Date,Sales_Region,Subscription_Tier,Acquisition_Channel,Churn_Risk,Monthly_Recurring_Rev,Customer_Acquisition_Cost,Expected_Lifespan_Months,Total_Contract_Value,Customer_Lifetime_Value,LTV_to_CAC_Ratio
9003130,2022-01-01,APAC,Starter,Outbound Sales,Low,105,3147,10,1050,892.5,0.28
9001734,2022-01-01,EMEA,Professional,Inbound Organic,Low,1172,436,32,37504,31878.399999999998,73.12
9002090,2022-01-01,North America,Starter,Paid Ads,Low,96,1263,9,864,734.4,0.58
9001830,2022-01-01,North America,Professional,Inbound Organic,Medium,1208,488,28,33824,28750.399999999998,58.91
9001116,2022-01-01,EMEA,Team,Inbound Organic,Low,431,596,20,8620,7327.0,12.29
9000729,2022-01-01,North America,Enterprise,Outbound Sales,Medium,4802,3025,58,278516,236738.6,78.26
9004995,2022-01-01,North America,Starter,Outbound Sales,Low,91,3010,11,1001,850.85,0.28
9003329,2022-01-01,North America,Team,Outbound Sales,Low,393,3915,20,7860,6681.0,1.71
9000977,2022-01-01,North America,Starter,Partner Referral,Low,92,971,11,1012,860.1999999999999,0.89
9009608,2022-01-01,EMEA,Team,Partner Referral,High,392,644,29,11368,9662.8,15.0
9002065,2022-01-01,North America,Team,Paid Ads,Low,424,1179,21,8904,7568.4,6.42
9000574,2022-01-01,North America,Professional,Paid Ads,Low,1237,1461,37,45769,38903.65,26.63
9009522,2022-01-01,EMEA,Professional,Inbound Organic,Low,1257,530,37,46509,39532.65,74.59
9007452,2022-01-02,North America,Team,Partner Referral,High,399,918,29,11571,9835.35,10.71
9004548,2022-01-02,LATAM,Starter,Partner Referral,Low,103,780,10,1030,875.5,1.12
9007509,2022-01-02,North America,Professional,Partner Referral,Low,1279,966,39,49881,42398.85,43.89
9002678,2022-01-02,EMEA,Starter,Partner Referral,Low,95,771,14,1330,1130.5,1.47
9000217,2022-01-02,EMEA,Professional,Inbound Organic,Low,1094,420,43,47042,39985.7,95.2
9006671,2022-01-02,EMEA,Team,Paid Ads,Medium,380,1121,20,7600,6460.0,5.76
9009530,2022-01-02,EMEA,Starter,Paid Ads,Low,103,1020,11,1133,963.05,0.94
9005391,2022-01-02,North America,Starter,Inbound Organic,Low,105,463,12,1260,1071.0,2.31
9004031,2022-01-02,EMEA,Starter,Partner Referral,Low,93,722,8,744,632.4,0.88
9009436,2022-01-02,North America,Professional,Inbound Organic,Low,1102,574,44,48488,41214.799999999996,71.8
9001878,2022-01-02,North America,Team,Inbound Organic,Low,430,516,28,12040,10234.0,19.83
9007126,2022-01-02,EMEA,Team,Paid Ads,Low,387,1137,30,11610,9868.5,8.68
9001266,2022-01-02,North America,Professional,Inbound Organic,Low,1231,417,46,56626,48132.1,115.42
9002025,2022-01-02,North America,Starter,Outbound Sales,Low,105,3844,15,1575,1338.75,0.35
9007480,2022-01-02,EMEA,Team,Outbound Sales,Low,368,3109,27,9936,8445.6,2.72
9006267,2022-01-03,North America,Professional,Outbound Sales,Low,1081,3942,27,29187,24808.95,6.29
9009905,2022-01-03,North America,Team,Inbound Organic,Low,373,521,22,8206,6975.099999999999,13.39
9009253,2022-01-03,EMEA,Starter,Inbound Organic,Low,102,457,10,1020,867.0,1.9
